日付,キャンペーン名,広告グループ名,ターゲティング,マッチタイプ,カスタマーの検索キーワード,インプレッション,クリック,クリックスルー率 (CTR),平均クリック単価 (CPC),費用,広告がクリックされてから7日間の総売上高,広告費売上高比率（ACOS）合計,広告費用対効果（ROAS）合計,広告がクリックされてから7日間の合計注文数,広告がクリックされてから7日間の合計販売数,広告がクリックされてから7日間のコンバージョン率,広告がクリックされてから7日間の広告された SKU の販売数,広告がクリックされてから7日間のその他の SKUの販売数,広告がクリックされてから7日間の広告された SKU の売上,広告がクリックされてから7日間のその他の SKU の売上
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0bywnbh5d,226,10,4.4248%,¥99.60,¥995.96,"¥9,492.00",10.4926%,9.53,3,3,30.0000%,3,0,"¥9,492.00",¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b08hjd4fbp,2211,37,1.6735%,¥166.36,"¥6,155.39",¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 05, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,アゼライン酸,356,6,1.6854%,¥119.59,¥717.54,"¥9,492.00",7.5594%,13.23,3,3,50.0000%,3,0,"¥9,492.00",¥0.00
"Apr 03, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0dcgdl4lz,2929,40,1.3657%,¥138.02,"¥5,520.62","¥9,492.00",58.1608%,1.72,3,3,7.5000%,3,0,"¥9,492.00",¥0.00
"Apr 04, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0dcgdl4lz,774,11,1.4212%,¥135.81,"¥1,493.93","¥6,328.00",23.6082%,4.24,2,2,18.1818%,2,0,"¥6,328.00",¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin=""B08HJD4FBP""",-,b08hjd4fbp,1112,12,1.0791%,¥98.44,"¥1,181.32",¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Mar 27, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"category=""乳液・クリーム"" prime-shipping-eligible=""true""",-,アゼライン酸,5,1,20.0000%,¥217.45,¥217.45,"¥5,853.00",3.7152%,26.92,2,2,200.0000%,2,0,"¥5,853.00",¥0.00
"Mar 28, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"category=""乳液・クリーム"" prime-shipping-eligible=""true""",-,b0c6jp8ylc,458,12,2.6201%,¥209.23,"¥2,510.74","¥5,378.00",46.6854%,2.14,2,2,16.6667%,2,0,"¥5,378.00",¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B09KV4FJ4S""",-,グリセリンフリー 導入美容液,1,1,100.0000%,¥108.00,¥108.00,"¥3,164.00",3.4134%,29.30,1,1,100.0000%,1,0,"¥3,164.00",¥0.00
"Apr 06, 2025",キャンペーン - 2025/3/25 19:06:41.618,関連商品 - 2025/3/25 19:06:34.222,"asin-expanded=""B0D8J31NVZ""",-,b0cr3svdtx,10,1,10.0000%,¥107.00,¥107.00,"¥3,164.00",3.3818%,29.57,1,1,100.0000%,1,0,"¥3,164.00",¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0dg29fznj,22,1,4.5455%,¥120.00,¥120.00,"¥3,164.00",3.7927%,26.37,1,1,100.0000%,1,0,"¥3,164.00",¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0dbg2bkcz,234,2,0.8547%,¥146.00,¥292.00,"¥3,164.00",9.2288%,10.84,1,1,50.0000%,1,0,"¥3,164.00",¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,b0dcgdl4lz,2515,15,0.5964%,¥156.26,"¥2,343.89","¥3,164.00",74.0800%,1.35,1,1,6.6667%,1,0,"¥3,164.00",¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B07QM5KGDK""",-,アゼライン酸,1003,17,1.6949%,¥166.06,"¥2,823.02","¥3,164.00",89.2231%,1.12,1,1,5.8824%,1,0,"¥3,164.00",¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B0DCGDL4LZ""",-,b0dtk9ns8c,206,1,0.4854%,¥120.00,¥120.00,"¥3,164.00",3.7927%,26.37,1,1,100.0000%,1,0,"¥3,164.00",¥0.00
"Apr 06, 2025",検索ワード - 2025/3/30 3:49:42.662,毛穴グループ - 2025/3/30 3:49:36.820,グリシルグリシン,EXACT,グリシルグリシン,1340,5,0.3731%,¥120.11,¥600.57,"¥3,164.00",18.9814%,5.27,1,1,20.0000%,1,0,"¥3,164.00",¥0.00
